state,Gender,time_spent
01,1,0.067505157347021
01,2,0.2720638038722014
02,1,0.0859291925645855
02,2,0.2526001379919285
03,1,0.07401024554640334
03,2,0.3013192525100253
03,3,0.3333333333333333
04,1,0.0759951239692613
04,2,0.2623046067820961
05,1,0.08274497099811086
05,2,0.31241213032360143
05,3,0.10416666666666667
06,1,0.07062599475048562
06,2,0.26495966222743844
06,3,0.08333333333333333
07,1,0.0893042108338537
07,2,0.28807873270132667
07,3,0.08333333333333333
08,1,0.0769053893435947
08,2,0.24918090646689933
08,3,0.21444214137425052
09,1,0.08250893588367368
09,2,0.27904748802959894
09,3,0.15382800252951778
10,1,0.08479607550019615
10,2,0.3397652199988466
10,3,0.321037440694254
11,1,0.08319373077372309
11,2,0.24492595038372364
11,3,0.12499999999999996
12,1,0.10057840173955473
12,2,0.2870358120082
13,1,0.08722125386465605
13,2,0.22978293619492668
13,3,0.1875
14,1,0.08622729554103592
14,2,0.2553714812676058
14,3,0.3541666666666667
15,1,0.08664694637152616
15,2,0.3034289654250927
15,3,0.16666666666666666
16,1,0.08597668431037876
16,2,0.3147906922411036
17,1,0.08639005129413246
17,2,0.25600890102570273
18,1,0.08369782353839253
18,2,0.3127948635033593
19,1,0.08368668639285537
19,2,0.30409127554491683
19,3,0.1211857294157613
20,1,0.08326127438760304
20,2,0.2873241070114836
21,1,0.07934250363277047
21,2,0.289129634823741
21,3,0.2370258576841891
22,1,0.08107192328556816
22,2,0.24400723039734598
22,3,0.22916666666666666
23,1,0.08602725660850503
23,2,0.26436173187291184
23,3,0.28097268317708274
24,1,0.07589687905546277
24,2,0.2741750288561544
24,3,0.11914243158346174
25,1,0.07239827249025495
25,2,0.2903005312430278
26,1,0.08748227159887399
26,2,0.2716820507830725
27,1,0.07743222188104171
27,2,0.2694684366989656
27,3,0.05663768613325238
28,1,0.0692542900008692
28,2,0.2450996695611365
28,3,0.3399126430270061
29,1,0.06682886399919255
29,2,0.28134951248980766
29,3,0.20174462125666814
30,1,0.08807316539413046
30,2,0.29755913077128443
31,1,0.07089883970536337
31,2,0.2909876426388539
32,1,0.08362519318161275
32,2,0.28543698949102264
32,3,0.16666666666666666
33,1,0.06905886011406105
33,2,0.24160072522333684
33,3,0.24617707936168418
34,1,0.08225378082879908
34,2,0.2633141954952141
35,1,0.09097308169473305
35,2,0.29523874186021953
36,1,0.06808085025954452
36,2,0.23131311809232602
36,3,0.24781814219967224
37,1,0.079502
37,2,0.279249
37,3,0.218224
