country_name,country_code,year,time_spent,gender,gdp,labor_force_participation
Albania,ALB,2011,21.73611,Female,11052.79361,52.44599915
Algeria,DZA,2012,21.66667,Female,11233.51704,15.82299995
Argentina,ARG,2013,23.41864,Female,24424.13645,47.82600021
Armenia,ARM,2008,21.65833,Female,10467.52981,44.8390007
Australia,AUS,2006,20.83333,Female,42738.46579,57.47800064
Austria,AUT,2009,19.06954,Female,51030.72468,54.04700089
Azerbaijan,AZE,2008,25.41667,Female,12672.37624,61.89699936
Belarus,BLR,2015,19.16667,Female,18362.74559,58.42900085
Belgium,BEL,2013,15.90278,Female,48204.5857,47.76599884
Bhutan,BTN,2015,15,Female,10086.0728,55.10599899
Bolivia,BOL,2001,23.11926,Female,5402.75948,59.87400055
Brazil,BRA,2017,11.60814,Female,14524.61354,52.62400055
Bulgaria,BGR,2010,18.47222,Female,18160.60824,47.75799942
Cambodia,KHM,2004,12.5,Female,1902.096703,75.5059967
Cameroon,CMR,2014,15.82086,Female,3470.785658,70.54299927
Canada,CAN,2016,14.58333,Female,47457.58535,61.27999878
Chile,CHL,2015,22.10355,Female,24440.41526,48.4620018
China,CHN,2018,15.34722,Female,15133.99562,63.11399841
Colombia,COL,2017,5.02051,Female,14171.3205,57.73500061
Costa Rica,CRI,2017,22.14571,Female,20347.03477,43.99900055
Cuba,CUB,2016,21,Female,,42.22600174
Denmark,DNK,2009,15.625,Female,50114.05005,59.63899994
Dominican Republic,DOM,2016,16.70887,Female,16166.61153,48.76100159
Ecuador,ECU,2012,19.74505,Female,11431.37562,48.04100037
"Egypt, Arab Rep.",EGY,2015,22.36111,Female,10570.44523,22.84799957
El Salvador,SLV,2017,20.21275,Female,8454.052167,44.72900009
Estonia,EST,2010,17.22222,Female,26015.74635,55.08599854
Ethiopia,ETH,2013,19.30556,Female,1545.177956,74.27300262
Fiji,FJI,2016,15.15812,Female,12820.75699,38.2840004
Finland,FIN,2010,15.20417,Female,45874.6613,56.00799942
France,FRA,2010,15.77314,Female,42147.67168,51.45500183
Germany,DEU,2013,16.4,Female,49954.17375,54.58300018
Ghana,GHA,2009,15.48611,Female,3637.476218,68.14099884
Greece,GRC,2014,18.125,Female,28129.96132,44.03900146
Guatemala,GTM,2017,19.48273,Female,8322.21681,38.90100098
Honduras,HND,2009,17.29571,Female,4787.863751,41.13999939
"Hong Kong SAR, China",HKG,2013,10.83333,Female,55230.85943,54.47900009
Hungary,HUN,2010,17.27674,Female,24486.04173,43.76100159
"Iran, Islamic Rep.",IRN,2009,21.04167,Female,13199.01869,15.77400017
Iraq,IRQ,2007,24.09722,Female,7695.114882,12.08199978
Ireland,IRL,2005,20.55556,Female,56943.82753,54.54800034
Italy,ITA,2014,20.4,Female,39898.52646,40.13899994
Japan,JPN,2016,15.13889,Female,40754.10293,50.26200104
Kazakhstan,KAZ,2018,18.95833,Female,25544.34476,64.02799988
"Korea, Rep.",KOR,2019,14.09722,Female,42804.66891,53.73699951
Kyrgyz Republic,KGZ,2015,16.80556,Female,4805.141092,49.91400146
Lao PDR,LAO,2017,13.6038,Female,7257.812107,75.91899872
Latvia,LVA,2003,18.26389,Female,16597.38784,50.81000137
Lesotho,LSO,2003,15.55556,Female,1851.348747,64.71900177
Liberia,LBR,2010,6.29234,Female,1465.559297,71.6289978
Lithuania,LTU,2003,18.68056,Female,17839.78274,55.02199936
Luxembourg,LUX,2014,14.44444,Female,113313.5789,53.44599915
Malawi,MWI,2005,8.68056,Female,1106.910658,74.13200378
Malaysia,MYS,2003,19.09722,Female,16751.40714,45.37400055
Malta,MLT,2002,18.75,Female,27442.97013,30.87599945
Mauritius,MUS,2003,18.95833,Female,12938.15268,38.60300064
Mexico,MEX,2019,27.76825,Female,19677.27534,44.54299927
Moldova,MDA,2012,20.13841,Female,9000.658925,38.18000031
Mongolia,MNG,2019,19.29129,Female,12486.07746,53.24499893
Morocco,MAR,2012,20.83333,Female,6625.104134,24.69300079
Netherlands,NLD,2012,14.72222,Female,51860.05599,59.28300095
New Zealand,NZL,2010,18.05556,Female,37657.1432,61.56499863
North Macedonia,MKD,2015,15.41667,Female,15139.25162,43.47200012
Norway,NOR,2011,15.30833,Female,61157.12993,61.63899994
Oman,OMN,2008,18.88889,Female,39620.7716,27.02000046
Pakistan,PAK,2007,19.86111,Female,3931.175785,19.2859993
Panama,PAN,2011,17.95164,Female,23349.16657,44.31299973
Paraguay,PRY,2016,14.52502,Female,12170.78439,56.29299927
Peru,PER,2010,23.56031,Female,10066.46757,72.5510025
Poland,POL,2013,18.2625,Female,25759.33912,48.15399933
Portugal,PRT,2015,17.81135,Female,31118.79067,53.75899887
Qatar,QAT,2013,8.19444,Female,95499.90763,55.05500031
Romania,ROU,2012,19.02778,Female,21311.11919,46.2519989
Russian Federation,RUS,2014,18.40278,Female,26057.15531,55.67499924
Serbia,SRB,2015,19.16756,Female,15578.2093,43.42399979
Slovenia,SVN,2001,20.55556,Female,27079.4749,51.11899948
South Africa,ZAF,2010,15.55556,Female,13618.72526,44.51399994
Spain,ESP,2010,18.95833,Female,37319.47622,52.1609993
Sweden,SWE,2011,16.04201,Female,48947.43931,59.47100067
Switzerland,CHE,2016,16.83333,Female,68663.24382,62.83300018
Tanzania,TZA,2014,16.45833,Female,2284.961757,80.02799988
Thailand,THA,2015,11.83333,Female,16285.38657,61.11399841
Tunisia,TUN,2006,21.94444,Female,9481.252101,24.42700005
Turkey,TUR,2015,19.15117,Female,25958.64076,31.6079998
Uganda,UGA,2018,14.58333,Female,2124.792203,66.35099792
United Kingdom,GBR,2015,12.65278,Female,45041.05718,57.1969986
United States,USA,2019,15.33333,Female,62630.87328,56.59600067
Uruguay,URY,2013,19.87475,Female,21786.21194,55.37799835
West Bank and Gaza,PSE,2013,20.13889,Female,6118.257181,15.58399963
Albania,ALB,2011,3.47222,Male,11052.79361,52.44599915
Algeria,DZA,2012,3.75,Male,11233.51704,15.82299995
Argentina,ARG,2013,9.2486,Male,24424.13645,47.82600021
Armenia,ARM,2008,4.37083,Male,10467.52981,44.8390007
Australia,AUS,2006,11.38889,Male,42738.46579,57.47800064
Austria,AUT,2009,10.05396,Male,51030.72468,54.04700089
Azerbaijan,AZE,2008,8.88889,Male,12672.37624,61.89699936
Belarus,BLR,2015,9.51389,Male,18362.74559,58.42900085
Belgium,BEL,2013,10.06944,Male,48204.5857,47.76599884
Bhutan,BTN,2015,5.90278,Male,10086.0728,55.10599899
Bolivia,BOL,2001,12.13362,Male,5402.75948,59.87400055
Brazil,BRA,2017,5.13276,Male,14524.61354,52.62400055
Bulgaria,BGR,2010,9.23611,Male,18160.60824,47.75799942
Cambodia,KHM,2004,1.25,Male,1902.096703,75.5059967
Cameroon,CMR,2014,4.56784,Male,3470.785658,70.54299927
Canada,CAN,2016,9.58333,Male,47457.58535,61.27999878
Chile,CHL,2015,9.85396,Male,24440.41526,48.4620018
China,CHN,2018,5.90278,Male,15133.99562,63.11399841
Colombia,COL,2017,2.92763,Male,14171.3205,57.73500061
Costa Rica,CRI,2017,8.37858,Male,20347.03477,43.99900055
Cuba,CUB,2016,12.47024,Male,,42.22600174
Denmark,DNK,2009,11.25,Male,50114.05005,59.63899994
Dominican Republic,DOM,2016,3.78561,Male,16166.61153,48.76100159
Ecuador,ECU,2012,4.72192,Male,11431.37562,48.04100037
"Egypt, Arab Rep.",EGY,2015,2.43056,Male,10570.44523,22.84799957
El Salvador,SLV,2017,7.02928,Male,8454.052167,44.72900009
Estonia,EST,2010,10.76389,Male,26015.74635,55.08599854
Ethiopia,ETH,2013,6.59722,Male,1545.177956,74.27300262
Fiji,FJI,2016,5.19476,Male,12820.75699,38.2840004
Finland,FIN,2010,10.49167,Male,45874.6613,56.00799942
France,FRA,2010,9.49464,Male,42147.67168,51.45500183
Germany,DEU,2013,10.4,Male,49954.17375,54.58300018
Ghana,GHA,2009,4.58333,Male,3637.476218,68.14099884
Greece,GRC,2014,7.01389,Male,28129.96132,44.03900146
Guatemala,GTM,2017,2.60537,Male,8322.21681,38.90100098
Honduras,HND,2009,4.31393,Male,4787.863751,41.13999939
"Hong Kong SAR, China",HKG,2013,3.33333,Male,55230.85943,54.47900009
Hungary,HUN,2010,7.9796,Male,24486.04173,43.76100159
"Iran, Islamic Rep.",IRN,2009,5.20833,Male,13199.01869,15.77400017
Iraq,IRQ,2007,4.16667,Male,7695.114882,12.08199978
Ireland,IRL,2005,8.95833,Male,56943.82753,54.54800034
Italy,ITA,2014,8.4,Male,39898.52646,40.13899994
Japan,JPN,2016,3.125,Male,40754.10293,50.26200104
Kazakhstan,KAZ,2018,6.25,Male,25544.34476,64.02799988
"Korea, Rep.",KOR,2019,4.375,Male,42804.66891,53.73699951
Kyrgyz Republic,KGZ,2015,9.51389,Male,4805.141092,49.91400146
Lao PDR,LAO,2017,10.06278,Male,7257.812107,75.91899872
Latvia,LVA,2003,9.09722,Male,16597.38784,50.81000137
Lesotho,LSO,2003,6.18056,Male,1851.348747,64.71900177
Liberia,LBR,2010,2.57656,Male,1465.559297,71.6289978
Lithuania,LTU,2003,8.95694,Male,17839.78274,55.02199936
Luxembourg,LUX,2014,7.08333,Male,113313.5789,53.44599915
Malawi,MWI,2005,1.25,Male,1106.910658,74.13200378
Malaysia,MYS,2003,5.97222,Male,16751.40714,45.37400055
Malta,MLT,2002,7.01389,Male,27442.97013,30.87599945
Mauritius,MUS,2003,4.79167,Male,12938.15268,38.60300064
Mexico,MEX,2019,11.11167,Male,19677.27534,44.54299927
Moldova,MDA,2012,11.2725,Male,9000.658925,38.18000031
Mongolia,MNG,2019,7.59633,Male,12486.07746,53.24499893
Morocco,MAR,2012,2.98611,Male,6625.104134,24.69300079
Netherlands,NLD,2012,9.23611,Male,51860.05599,59.28300095
New Zealand,NZL,2010,10.55556,Male,37657.1432,61.56499863
North Macedonia,MKD,2015,5.41667,Male,15139.25162,43.47200012
Norway,NOR,2011,12.33333,Male,61157.12993,61.63899994
Oman,OMN,2008,7.5,Male,39620.7716,27.02000046
Pakistan,PAK,2007,1.80556,Male,3931.175785,19.2859993
Panama,PAN,2011,7.57184,Male,23349.16657,44.31299973
Paraguay,PRY,2016,4.27041,Male,12170.78439,56.29299927
Peru,PER,2010,8.94605,Male,10066.46757,72.5510025
Poland,POL,2013,9.92917,Male,25759.33912,48.15399933
Portugal,PRT,2015,10.2414,Male,31118.79067,53.75899887
Qatar,QAT,2013,2.22222,Male,95499.90763,55.05500031
Romania,ROU,2012,9.375,Male,21311.11919,46.2519989
Russian Federation,RUS,2014,8.125,Male,26057.15531,55.67499924
Serbia,SRB,2015,8.69038,Male,15578.2093,43.42399979
Slovenia,SVN,2001,11.11111,Male,27079.4749,51.11899948
South Africa,ZAF,2010,6.45833,Male,13618.72526,44.51399994
Spain,ESP,2010,8.61111,Male,37319.47622,52.1609993
Sweden,SWE,2011,12.82797,Male,48947.43931,59.47100067
Switzerland,CHE,2016,10.80417,Male,68663.24382,62.83300018
Tanzania,TZA,2014,4.23611,Male,2284.961757,80.02799988
Thailand,THA,2015,3.75,Male,16285.38657,61.11399841
Tunisia,TUN,2006,2.70833,Male,9481.252101,24.42700005
Turkey,TUR,2015,3.70575,Male,25958.64076,31.6079998
Uganda,UGA,2018,7.5,Male,2124.792203,66.35099792
United Kingdom,GBR,2015,6.96528,Male,45041.05718,57.1969986
United States,USA,2019,9.66667,Male,62630.87328,56.59600067
Uruguay,URY,2013,8.37738,Male,21786.21194,55.37799835
West Bank and Gaza,PSE,2013,2.98611,Male,6118.257181,15.58399963
India,IND,2019,7.95,Male,6713.93,23.5
India, IND,2019,27.9249, Female,6713.93,23.5
